DATE,AIRCRAFT MAKE & MODEL,AIRCRAFT IDENT,ROUTE OF FLIGHT,LEGS,DURATION,LANDINGS DAY,LANDINGS NIGHT,NIGHT,INSTRUMENT,APPROACHES & TYPE,CROSS COUNTRY,SECOND IN COMMAND,PILOT IN COMMAND,SIMULATED INSTRUMENT,INSTRUCTOR,DUAL,REMARKS,SIMULATOR,SOLO,FLIGHT COST,EXPENSES
5/24/2003,C172,80300,AXH-LBX-SGR-AXH,1,1.7,1,,,,,,,1.7,,,,,,,,
6/3/2003,C172,80300,AXH-AUS-AXH,1,2.6,2,,,,,2.6,,2.6,,,,,,,,
6/4/2003,C172,80300,AXH-11R-AXH,1,2.1,2,,,,,2.1,,2.1,,,,,,,,
9/23/2003,C172,5013R,AXH-AXH,1,0.4,3,,,,,,,0.4,,,0.4,,,,,
9/23/2003,C172,80300,AXH-GLS-AXH,1,1.1,2,,,,,,,1.1,,,,,,,,
10/7/2003,C172,80300,AXH-11R-AXH,1,3,,5,3,,,3,,3,,,,,,,,
11/18/2003,C172,80300,AXH-AXH,1,0.7,2,3,0.7,,,,,0.7,,,0.7,,,,,
12/24/2003,C172,5013R,AXH-11R-AXH,1,1.9,2,,,,,1.9,,1.9,,,,,,,,
2/18/2004,C172,80300,AXH-VCT-AXH,1,3,1,5,3,,,3,,3,,,,,,,,
3/10/2004,C172,80300,AXH-AXH,1,1.3,1,,,,,,,1.3,1,,1.3,,,,,
3/12/2004,C172,80300,AXH-AXH,1,1.3,1,,,,,,,1.3,1,,1.3,,,,,
3/17/2004,C172,80300,AXH-AXH,1,0.5,1,,,,,,,0.5,0.2,,0.5,,,,,
3/19/2004,C172,80300,AXH-AXH,1,0.6,1,,,,,,,0.6,0.4,,0.6,,,,,
3/22/2004,C172,5013R,AXH-AXH,1,1.8,1,,,,,,,1.8,1.6,,1.8,,,,,
3/31/2004,C172,5013R,AXH-LBX-AXH,1,1.4,2,,,,1,,,1.4,1.1,,1.4,,,,,
4/2/2004,C172,5013R,AXH-LBX-AXH,1,1.6,2,,,,1,,,1.6,1.3,,1.6,,,,,
4/9/2004,C172,80300,AXH-GLS-LBX-AXH,1,2.1,1,,,,2,,,2.1,1.3,,1.6,,,,,
4/16/2004,C172,5013R,AXH-GLS-LBX-AXH,1,2,3,,,,3,,,2,1.5,,2,,,,,
4/27/2004,C172,80300,AXH-GLS-AXH,1,1.5,1,,,,2,,,1.5,1.2,,1.5,,,,,
4/29/2004,C172,80300,AXH-11R-AXH,1,1.8,1,1,0.5,,,1.8,,1.8,,,1.8,,,,,
5/3/2004,C172,80300,AXH-AUS-AXH,2,3.5,2,,,,2,3.5,,3.5,3.3,,3.5,,,,,
5/7/2004,C172,80300,AXH-LFK-CLL-SGR-AXH,3,4.2,4,,,2.2,3,4.2,,4.2,1.6,,4.2,,,,,
5/12/2004,C172,80300,AXH-GLS-SGR-AXH,1,2,1,,,1.3,3,,,2,0.4,,2,,,,,
5/21/2004,C172,80300,AXH-LBX-AXH,1,1.4,1,,,,2,,,1.4,1.2,,1.4,,,,,
5/24/2004,C172,5013R,AXH-SAT-AXH,1,4.1,2,,,,1,,,4.1,1.7,,,,,,,
5/28/2004,C172,80300,AXH-DWH-LBX-AXH,1,1.9,3,,,,,1.9,,1.9,,,,,,,,
5/31/2004,C172,80300,AXH-LBX-AXH,1,1.3,2,,,,2,,,1.3,1,,1.3,,,,,
6/1/2004,C172,80300,AXH-LBX-AXH,1,1.1,2,,,,3,,,1.1,0.8,,1.1,,,,,
6/7/2004,C172,80300,AXH-LBX-AXH,1,1.3,2,,,,3,,,1.3,1,,1.3,,,,,
6/10/2004,C172,5013R,AXH-AUS-AXH,1,3.5,2,,,1.1,1,3.5,,3.5,1.2,,3.5,,,,,
6/14/2004,C172,5013R,AXH-LBX-AXH,1,1.6,1,,,,3,,,1.6,1.3,,1.6,,,,,
6/14/2004,C172,5013R,AXH-11R-AXH,1,1.5,2,,,,,,,1.5,1.2,,1.5,,,,,
6/17/2004,C172,5013R,AXH-AUS-AXH,1,3.1,2,,,,,3.1,,3.1,,,,,,,,
6/19/2004,C172,80300,AXH-GLS-LBX-AXH,1,1.9,3,,0.9,,2,,,1.9,1.6,,1.9,,,,,
6/21/2004,C172,80300,AXH-GLS-LBX-AXH,1,2,1,,,,3,,,2,1.6,,,,,,,
7/3/2004,C172,5013R,AXH-GLS-AXH,1,1.5,1,2,1.5,,,,,1.5,,,,,,,,
7/15/2004,C172,5013R,AXH-AUS-AXH,1,3.1,2,,,,,3.1,,3.1,,,,,,,,
7/23/2004,C172,5013R,AXH-GKY-AXH,1,5,1,1,,0.2,,5,,5,5,,,,,,,
7/24/2004,C172,5013R,AXH-SAT-AXH,1,4.2,1,1,,0.2,,4.2,,4.2,4.2,,,,,,,
7/24/2004,PA28-140,4024J,AXH-11R-AXH,1,1.3,1,13,,,,1.3,,1.3,,,,,,,,
8/11/2004,C172,5013R,AXH-GLS-AXH,1,1.2,3,,,,,,,1.2,,,,,,,,
8/15/2004,C172,80300,AXH-CXO-AXH,1,1.5,1,2,1.5,,,1.5,,1.5,,,,,,,,
8/26/2004,C172,5013R,AXH-CLL-AXH,1,2.2,1,1,2.2,,,2.2,,2.2,,,,,,,,
9/6/2004,C172,5013R,AXH-AUS-AXH,1,3,1,2,3,,,3,,3,,,,,,,,
10/5/2004,C152,67503,AXH-AXH,1,0.5,4,,,,,,,0.5,,,,,,,,
10/11/2004,C172,80300,AXH-SAT-AXH,1,3.6,2,,,,,3.6,,3.6,,,,,,,,
